positions,skills
['devops engineer'],"['Databases', 'Infrastructure as Code', 'Testing', 'ETL Pipelines', 'DevOps', 'API Integration', 'Docker', 'Deployment', 'Terraform', 'System Design', 'Git']"
"['assistant project manager', 'project manager']","['Wireframing', 'Time Management', 'Risk Management', 'Performance Metrics', 'User Research', 'Google Analytics', 'Presentation', 'A/B Testing', 'Documentation', 'Reporting', 'Team Coordination', 'MS Project', 'Stakeholder Management', 'Scope Management']"
['devops engineer'],"['Terraform', 'Microservices', 'Testing', 'Git', 'System Design', 'Code Review', 'DevOps', 'Golang', 'ETL Pipelines', 'Deployment', 'Data Structures', 'Programming', 'Docker', 'Web Development', 'Databases', 'Version Control', 'Debugging', 'Object-Oriented Design', 'API Integration']"
"['cloud data engineer', 'devops engineer']","['Debugging', 'System Design', 'Git', 'Testing', 'Docker', 'DevOps', 'Programming', 'Algorithms', 'Microservices', 'CI/CD', 'Infrastructure as Code', 'ETL Pipelines', 'Terraform', 'Web Development', 'API Integration']"
"['project manager', 'assistant project manager']","['Stakeholder Management', 'Wireframing', 'User Research', 'Scope Management', 'MS Project', 'Reporting', 'Scheduling', 'Team Coordination', 'Risk Management', 'A/B Testing']"
"['cloud data engineer', 'software engineer']","['DevOps', 'Docker', 'Version Control', 'Object-Oriented Design', 'CI/CD', 'Golang', 'Algorithms', 'Testing', 'ETL Pipelines', 'Microservices', 'Web Development', 'Code Review', 'Debugging', 'Data Structures', 'Databases', 'System Design', 'Programming', 'Deployment']"
['android developer'],"['App Lifecycle', 'Firebase', 'Glide', 'Android SDK', 'Testing', 'Version Control', 'MVVM', 'Play Store Deployment', 'Retrofit', 'REST APIs', 'Fragments', 'Performance Optimization', 'Bug Fixing', 'XML', 'Java', 'UI Design', 'Kotlin', 'React Native', 'Notifications']"
"['android developer', 'android intern']","['UI Design', 'MVVM', 'Bug Fixing', 'Version Control', 'Retrofit', 'Notifications', 'React Native', 'Kotlin', 'Glide', 'Play Store Deployment', 'Java', 'REST APIs', 'Fragments', 'Android SDK', 'App Lifecycle', 'Firebase', 'Testing', 'Performance Optimization', 'XML']"
"['data scientist', 'ai researcher']","['Data Cleaning', 'Python', 'RNN', 'PyTorch', 'ANN', 'SQL', 'Snowflake', 'Feature Engineering', 'Tableau', 'Deep Learning', 'Dimensionality Reduction', 'Exploratory Data Analysis', 'Big Data', 'CNN', 'Data Analysis', 'Clustering']"
"['ai researcher', 'data scientist']","['Classification', 'Regression', 'Exploratory Data Analysis', 'Machine Learning', 'NLP', 'Data Analysis', 'PyTorch', 'ANN', 'Snowflake', 'RNN', 'Tableau', 'SQL', 'Clustering', 'Feature Engineering']"
['android developer'],"['Android SDK', 'Performance Optimization', 'Notifications', 'Version Control', 'Firebase', 'UI Design', 'XML', 'Kotlin', 'Java', 'Bug Fixing', 'MVVM', 'REST APIs']"
"['software engineer', 'cloud data engineer']","['Golang', 'Object-Oriented Design', 'API Integration', 'Programming', 'Algorithms', 'Git', 'CI/CD', 'Debugging', 'System Design', 'Databases', 'Infrastructure as Code']"
['devops engineer'],"['Deployment', 'Data Structures', 'System Design', 'Databases', 'Git', 'DevOps', 'Golang', 'Docker', 'Infrastructure as Code', 'Microservices', 'Programming', 'API Integration', 'Object-Oriented Design', 'Debugging', 'Algorithms']"
"['machine learning engineer', 'ai researcher']","['Data Cleaning', 'Visualization', 'Machine Learning', 'Exploratory Data Analysis', 'SQL', 'Python', 'Clustering', 'Statistics', 'Deep Learning', 'Feature Engineering', 'PyTorch', 'Snowflake', 'TensorFlow', 'RNN', 'Regression', 'NLP', 'ANN']"
['mobile application developer'],"['React Native', 'Version Control', 'Android SDK', 'UI Design', 'Kotlin', 'XML', 'Glide', 'Bug Fixing', 'Firebase', 'Fragments', 'Retrofit', 'Notifications', 'Java', 'Performance Optimization', 'MVVM']"
['android developer'],"['React Native', 'Kotlin', 'XML', 'Bug Fixing', 'Performance Optimization', 'MVVM', 'Retrofit', 'Java', 'REST APIs', 'Glide', 'Fragments', 'Firebase', 'App Lifecycle', 'Version Control', 'Android SDK']"
"['machine learning engineer', 'data scientist']","['NLP', 'Clustering', 'Data Cleaning', 'Dimensionality Reduction', 'Data Analysis', 'RNN', 'Regression', 'Feature Engineering', 'Python', 'ANN', 'Tableau', 'Machine Learning', 'Classification', 'PyTorch', 'CNN', 'Exploratory Data Analysis', 'Visualization', 'SQL', 'Statistics']"
"['devops engineer', 'cloud data engineer']","['Object-Oriented Design', 'Data Structures', 'Algorithms', 'CI/CD', 'ETL Pipelines', 'Code Review', 'Web Development', 'Version Control', 'Programming', 'Deployment', 'Debugging', 'Databases']"
['android developer'],"['Testing', 'Retrofit', 'REST APIs', 'Performance Optimization', 'MVVM', 'Bug Fixing', 'UI Design', 'Version Control', 'XML', 'Java', 'React Native', 'Play Store Deployment', 'Glide', 'Android SDK', 'App Lifecycle', 'Fragments', 'Firebase', 'Kotlin']"
['project manager'],"['Scope Management', 'Team Coordination', 'Reporting', 'Scheduling', 'User Research', 'Budgeting', 'MS Project', 'Stakeholder Management', 'Project Planning', 'Communication', 'Time Management', 'A/B Testing', 'Performance Metrics', 'Presentation', 'Documentation']"
['assistant project manager'],"['Project Planning', 'Reporting', 'Performance Metrics', 'Scope Management', 'Documentation', 'Communication', 'Customer Retention', 'Scheduling', 'A/B Testing', 'Stakeholder Management', 'Budgeting', 'Presentation', 'Wireframing', 'Risk Management', 'Team Coordination', 'Issue Tracking', 'Time Management', 'User Research', 'Google Analytics', 'MS Project']"
['data scientist'],"['SQL', 'Feature Engineering', 'Predictive Modeling', 'Visualization', 'Exploratory Data Analysis', 'Deep Learning', 'Data Cleaning', 'Snowflake', 'Statistics', 'Machine Learning', 'PyTorch', 'Python', 'Tableau', 'ANN', 'CNN', 'RNN', 'Dimensionality Reduction']"
"['software engineer', 'cloud data engineer']","['Deployment', 'Data Structures', 'Infrastructure as Code', 'Version Control', 'Docker', 'Web Development', 'Code Review', 'ETL Pipelines', 'Programming', 'Object-Oriented Design', 'Debugging', 'Databases', 'Git', 'Testing', 'Microservices', 'API Integration', 'CI/CD', 'System Design']"
['devops engineer'],"['Debugging', 'Data Structures', 'Databases', 'API Integration', 'Docker', 'System Design', 'Terraform', 'Version Control', 'ETL Pipelines', 'Deployment', 'Object-Oriented Design', 'Testing', 'Golang', 'Infrastructure as Code', 'DevOps', 'Algorithms', 'Git', 'Code Review', 'Programming']"
"['devops engineer', 'cloud data engineer']","['Algorithms', 'Web Development', 'Databases', 'Deployment', 'Microservices', 'Object-Oriented Design', 'Golang', 'Version Control', 'Git', 'System Design', 'API Integration', 'Code Review']"
['machine learning engineer'],"['NLP', 'Snowflake', 'Deep Learning', 'Big Data', 'TensorFlow', 'RNN', 'Dimensionality Reduction', 'Statistics', 'Data Analysis', 'PyTorch', 'Classification', 'Machine Learning', 'CNN', 'Clustering', 'ANN', 'Tableau', 'Regression', 'Data Cleaning']"
